City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port-aux-francais,-49.35,70.2167,4.11,66,70,11.37,TF,1700026892
bethel,41.3712,-73.414,3.85,79,0,2.06,US,1700026903
badger,64.8,-147.5333,-5.07,80,75,1.54,US,1700026945
poronaysk,49.2167,143.1167,-3.55,74,32,0.95,RU,1700026921
grytviken,-54.2811,-36.5092,2.59,92,95,1.58,GS,1700026898
adamstown,-25.066,-130.1015,23.06,83,100,9.22,PN,1700026895
ilulissat,69.2167,-51.1,-7.99,73,32,1.54,GL,1700026908
jeremoabo,-10.075,-38.4808,20.6,97,49,2.57,BR,1700027190
tura,25.5198,90.2201,27.5,43,53,0.97,IN,1700026953
kaga bandoro,6.9896,19.1874,24.1,84,96,1.3,CF,1700027191
zhalantun,48.0,122.7167,-2.47,70,60,1.31,CN,1700027191
portland,45.5234,-122.6762,9.79,86,75,2.24,US,1700026674
quesnel,52.9999,-122.5029,-2.72,93,0,2.06,CA,1700027111
papatowai,-46.5619,169.4708,10.88,60,89,5.52,NZ,1700026925
yellowknife,62.456,-114.3525,-8.71,92,100,5.66,CA,1700026666
nova sintra,14.8667,-24.7167,22.93,73,99,9.6,CV,1700026898
naze,28.3667,129.4833,21.51,51,69,5.36,JP,1700027004
borogontsy,62.6683,131.1683,-15.99,96,100,2.53,RU,1700027192
lompoc,34.6391,-120.4579,13.07,53,0,2.06,US,1700026926
tongouson,5.0214,120.1328,29.18,74,27,1.08,PH,1700027192
kodiak,57.79,-152.4072,3.73,87,100,4.12,US,1700026972
sinabang,2.4803,96.3801,28.27,75,77,1.87,ID,1700026952
hasaki,35.7333,140.8333,15.16,75,71,9.53,JP,1700026951
jamestown,42.097,-79.2353,6.51,93,0,3.6,US,1700026901
znin,52.8496,17.7199,11.18,91,100,5.85,PL,1700027154
invercargill,-46.4,168.35,11.12,74,77,7.15,NZ,1700026914
vera cruz,-12.6333,-41.0333,19.42,85,0,0.31,BR,1700027193
port lincoln,-34.7333,135.8667,17.4,63,44,5.25,AU,1700026898
walvis bay,-22.9575,14.5053,16.53,94,100,3.09,NA,1700026959
adam,22.3756,57.5233,26.44,37,24,2.71,OM,1700027194
east london,-33.0153,27.9116,18.52,68,0,4.63,ZA,1700027111
nogliki,51.8333,143.1667,-4.81,61,1,4.47,RU,1700027194
puerto deseado,-47.7503,-65.8938,8.35,55,100,9.71,AR,1700026887
mandalgovi,45.7625,106.2708,-3.25,62,92,10.24,MN,1700027194
cape canaveral,28.4058,-80.6048,24.43,79,100,8.75,US,1700027084
sitka,57.0531,-135.33,3.94,81,75,2.06,US,1700026929
iqaluit,63.7506,-68.5145,-7.15,73,75,2.06,CA,1700026927
puerto natales,-51.7236,-72.4875,0.83,91,100,3.29,CL,1700026899
grand baie,-20.0182,57.5802,24.14,83,9,4.47,MU,1700027195
jabor,5.921,169.6434,28.1,83,100,9.66,MH,1700027195
enewetak,11.3474,162.3373,28.17,79,100,9.8,MH,1700026908
thompson,55.7435,-97.8558,-2.91,86,100,7.72,CA,1700026906
marquette,46.5333,-87.6335,9.27,53,100,4.02,US,1700027196
kingston,17.997,-76.7936,28.53,85,20,2.06,JM,1700026629
gwadar,25.1216,62.3254,25.86,56,0,3.3,PK,1700027087
flin flon,54.7682,-101.865,-3.73,93,72,3.18,CA,1700027196
oamaru,-45.0784,170.9801,14.1,77,99,4.3,NZ,1700027196
blackmans bay,-43.0167,147.3167,16.96,56,41,0.89,AU,1700026893
mont-dore,-22.2833,166.5833,24.99,64,1,6.58,NC,1700027197
edinburgh of the seven seas,-37.0676,-12.3116,14.14,84,98,9.93,SH,1700026894
saipan,15.1355,145.701,30.39,66,0,9.77,MP,1700026956
ushuaia,-54.8,-68.3,2.81,81,75,8.23,AR,1700026901
